 "name" , "count" 
 "Caribou-Targhee National Forest","0"
"Tay Ninh","0"
"Prince Albert","0"
"Waltenhofen","152"
"Camberwell","334"
"Riverdale","0"
"Coconut Grove","38"
"Tabibuga","0"
"Moclin","200"
"Tikitiki","0"
"Riverview","0"
"Heuchin","49"
"Saltillo","0"
"Venlo","117"
"Newagen","42"
"Rajahmundry","1"
"Beigan","0"
"Statesboro","15"
"Baclayon","14"
"Semproniano","226"
"Salinas","0"
"Les Menuires","0"
"Santa Coloma de Farners","360"
"Oakton","0"
"Lavenham","0"
"Bracknell","862"
"Vallorcine","334"
"Mogan","166"
"Cugand","127"
"Moolawatana","0"
"Livade","280"
"Santo Stefano Belbo","132"
"The Gap","15"
"Livadi","0"
"Chateaugiron","80"
"Linwood","261"
"Gurupi","0"
"Beaumont-Pied-de-Boeuf","0"
"Weiz","83"
"Schroeder","8"
"El Bosque","90"
"Bentley Park","131"
"Bretignolles-sur-Mer","199"
"Louis Street","0"
"Bischwihr","225"
"Dessau","37"
"La Macarena","0"
"Panama City","126"
"Purmamarca","12"
"Amelia","0"
"Lipnica Murowana","15"
"Egmont","2"
"Santa Paula","79"
"Nyaker","0"
"Palenville","33"
"Asbestos Hill","3"
"Elbrus","1"
"Kotlas","0"
"Merzig","168"
"Rota d'Imagna","622"
"Panzano in Chianti","0"
"Muehlen","27"
"Aiea","108"
"Cadeac","186"
"Frognersaetra","558"
"Foucart","167"
"Abramtsevo","0"
"Rezekne","2"
"Ammanford","55"
"Capannoli","660"
"Sheering","111"
"Mt. Field National Park","0"
"Samho","1"
"Chapinero","0"
"Matsushima","29"
"Ste. Anne","35"
"Gorinchem","219"
"Levenhagen","77"
"Plankinton","14"
"Rothrist","245"
"Lytham St. Anne's","402"
"Villamayor","56"
"Stamford","0"
"Kerrabee","0"
"El Gastor","94"
"Coolum Beach","146"
"Sainte-Lizaigne","0"
"Manokotak","0"
"Shotts","417"
"Koutaba","0"
"Saint-Laurent","0"
"Scritto","0"
"Njivice","98"
"Boonville","0"
"Port-Saint-Pere","0"
"Bredal","0"
"Deakin","52"
"Accord","256"
"Eraclea","922"
"Navojoa","1"
"Differdange","120"
"Fishers Island","98"
"Keswick","0"
"El Monte","759"
